index,image_link,group_id,entity_name,entity_value,extracted_text,prediction
673,https://m.media-amazon.com/images/I/71ywoKFO9lL.jpg,107694,item_weight,"[17.0, 21.0] kilogram"," 
",
756,https://m.media-amazon.com/images/I/61Rq6zd5cGL.jpg,107694,item_weight,220.0 gram,"Product Information

 

Name:Floating lounger

Weight:220g

 

Material:PVC

Size:125cm*70cm

 

 

Colour:Rose&Navy blue

 

 

 

 

125cm

a
Ze

   

>

 

Vv

w20/
",220.0 gram
674,https://m.media-amazon.com/images/I/71q+au3LqHL.jpg,107694,item_weight,"[13.0, 16.0] kilogram"," 
",220.0 gram
675,https://m.media-amazon.com/images/I/71ZiiJEYn5L.jpg,107694,item_weight,"[13.0, 16.0] kilogram","Size Chart

Warm Tip:

To get the best fit,please measure
your children’s weight and chest
circumference.|f you‘re not sure
which size to get, we recommend
going a size up.

 

Notice:

There may be an error of 1-2cm
due to manual measurements.
There may be slight color
differences due to the different
monitors.

 

Size Age Cee ah Vey red nh |

S
100-110cm/39-43"" 17-21kg/33-46lb
LE

 
","220.0 gram, -21.0 kilogram, -46.0 pound"
906,https://m.media-amazon.com/images/I/61uRP9TrzgL.jpg,107694,item_weight,"[5.0, 11.0] kilogram"," 
","220.0 gram, -21.0 kilogram, -46.0 pound"
800,https://m.media-amazon.com/images/I/71242FFd6tL.jpg,107694,item_weight,"[7.0, 25.0] kilogram","PRODUCT DETAILS

Eé

Ze XY

20.9in/53cm
Outer diameter

‘Gia’

8.7in/22c¢ me
Outer dian

7-25kgs/15-55lb has a better experience

 
","220.0 gram, -21.0 kilogram, -46.0 pound, -55.0 pound"
905,https://m.media-amazon.com/images/I/714E1rkmJdS.jpg,107694,item_weight,"[5.0, 11.0] kilogram","  

3 months-1 year 5-11 KG
1 year - 30 months 9-15 KG

  
","220.0 gram, -21.0 kilogram, -46.0 pound, -55.0 pound, -11.0 kilogram, -15.0 kilogram"
588,https://m.media-amazon.com/images/I/91xCTMzhWgL.jpg,107694,item_weight,55.0 pound,"ASSist-

’

icy

S
oO
Es
cu
ez
a)
be
0 2
wy
O 4

years old

~

55Ibs (14-25KG)

 

 
","220.0 gram, -21.0 kilogram, -46.0 pound, -55.0 pound, -11.0 kilogram, -15.0 kilogram, -25.0 kilogram"
587,https://m.media-amazon.com/images/I/811oWxn25JL.jpg,107694,item_weight,55.0 pound," 

27in

t Max Circumference: 38in
Min Circumference: 27in
","220.0 gram, -21.0 kilogram, -46.0 pound, -55.0 pound, -11.0 kilogram, -15.0 kilogram, -25.0 kilogram"
570,https://m.media-amazon.com/images/I/818hmVQLFPL.jpg,120219,maximum_weight_recommendation,180.0 milligram," 

 

 

 

 

 

 

 
",
